x,y,cluster
41.3770617,2.1512395,1
41.3770838,2.1512513,1
41.3771329,2.1511516,1
41.3788141,2.149169,1
41.3798904,2.1462336,3
41.3838321,2.1425543,1
41.3836794,2.1425269,1
41.383431,2.1392819,1
41.3839872,2.1397351,1
41.3840617,2.1395465,1
41.3822415,2.1358893,3
41.3801858,2.1429751,3
41.3803926,2.1421984,3
41.3779139,2.1460174,3
41.3823185,2.1469374,3
41.3828458,2.1502135,1
41.3787107,2.1457325,3
41.3787508,2.1458705,3
41.3787445,2.1458694,3
41.3787487,2.1458615,3
41.3787311,2.1457751,3
41.3880376,2.1113862,1
41.3879946,2.1111163,1
41.3847765,2.1104196,1
41.3781556,2.1824349,1
41.3793877,2.1872169,1
41.3753468,2.1887455,1
41.3754907,2.1887724,1
41.3741429,2.1887312,1
41.3741196,2.1887182,1
41.3741381,2.188759,1
41.3743041,2.1889731,1
41.3743191,2.1892515,1
41.378224,2.1880213,1
41.3785324,2.1800437,1
41.3753308,2.1500262,1
41.3782461,2.1470549,1
41.3787708,2.1458582,3
41.378735,2.1458606,3
41.3787608,2.1459235,3
41.3807453,2.148607,1
41.381275,2.1484611,3
41.3787647,2.1458441,3
41.378739,2.1457948,3
41.3802283,2.1492617,1
41.3787705,2.1458991,3
41.3787275,2.1458169,3
41.3787171,2.1458174,3
41.3787212,2.145825,3
41.3787598,2.1458302,3
41.3787458,2.1458597,3
41.3787393,2.145817,3
41.3787286,2.1458172,3
41.3787418,2.1458464,3
41.3838129,2.1291321,1
41.3881618,2.1117328,1
41.387974,2.1114027,1
41.3879057,2.1114107,1
41.3879057,2.1114107,1
41.3882771,2.1118504,1
41.3882554,2.111922,1
41.3882561,2.1119204,1
41.388255,2.111925,1
41.3879053,2.1114105,1
41.3880049,2.1115303,1
41.3861426,2.1116381,3
41.3857026,2.1171113,3
41.3871108,2.1178476,1
41.3867764,2.119224,1
41.3871597,2.1182912,1
41.3787675,2.1458788,3
41.3761571,2.1389209,1
41.376168,2.1389745,1
41.3775004,2.1459167,3
41.3787333,2.1458076,3
41.3787221,2.1457987,3
41.3787422,2.1458435,3
41.3787607,2.1458547,3
41.379224,2.1467062,1
41.374907,2.1440798,3
41.3767986,2.1460575,3
41.3787298,2.1458162,3
41.3787278,2.1457944,3
41.3787163,2.1458125,3
41.3781103,2.1458367,3
41.3747732,2.1490913,1
41.3708983,2.1496303,1
41.3704918,2.1491767,1
41.3720497,2.1508894,1
41.3715502,2.1504336,1
41.3764935,2.1477356,1
41.3789534,2.1460887,3
41.3787751,2.1458961,3
41.3803202,2.1492248,1
41.3787078,2.1458342,3
41.3787319,2.145859,3
41.3787664,2.1458492,3
41.3793071,2.146604,3
41.3983691,2.1684677,1
41.3953811,2.1600479,1
41.3957163,2.160428,1
41.3913813,2.161562,1
41.391502,2.1616862,1
41.3870177,2.1705633,1
41.3867894,2.1686021,1
41.3857312,2.1687122,1
41.3792219,2.1466711,3
41.3787663,2.1458948,3
41.3787679,2.1459241,3
41.3787775,2.1459034,3
41.378736,2.1458008,3
41.3787227,2.1458067,3
41.3758124,2.1482936,1
41.371975,2.1507717,1
41.37048,2.1467313,1
41.3693464,2.1524444,1
41.3732943,2.1512919,1
41.3767006,2.1501293,1
41.3788195,2.1460092,3
41.3787267,2.145835,3
41.3787411,2.1458169,3
41.3787383,2.1458368,3
41.378736,2.145829,3
41.3787452,2.1457887,3
41.3792493,2.1465739,3
50.4893042,19.0983815,1
50.4492979,19.0605598,1
50.4487039,19.0594976,1
50.3284979,19.2424844,1
50.3063515,19.4756748,1
50.0973304,19.8953944,1
50.0897229,19.9181189,1
50.0689532,19.9463832,1
50.0629994,19.9398983,1
50.0623877,19.9349159,1
50.0626007,19.9351917,1
50.0625808,19.935131,1
50.0629921,19.9341694,1
50.0619015,19.9370671,1
50.0622728,19.9348871,1
50.0626073,19.9350316,1
50.0641357,19.9353627,1
50.0279986,19.2016098,1
50.0514717,19.213068,1
50.0725352,19.4339893,1
50.0340482,19.6125103,1
50.0357467,19.8359321,1
50.0627453,19.930684,1
50.06162,19.9380637,1
50.0623075,19.9356297,1
50.0633891,19.9334855,1
50.0625855,19.9350852,1
50.0555732,19.9355354,1
50.0537283,19.9343361,1
50.0522944,19.9349178,1
50.0536635,19.9292626,1
50.056137,19.9310351,1
50.0520741,19.93419312,1
50.0530535,19.9299838,1
50.0531695,19.9318635,1
50.0502566,19.9370347,1
50.0513223,19.9478283,1
50.0549321,19.9504634,1
50.0524154,19.9450718,1
50.0530348,19.9472086,1
50.0524154,19.9450718,1
50.0523377,19.9462202,1
50.0521869,19.9384723,1
50.0634558,19.9335342,1
50.0626014,19.9350544,1
50.0626415,19.9349326,1
50.0625873,19.9351931,1
50.0626457,19.9351438,1
50.0625931,19.9351967,1
50.0626022,19.9352347,1
50.0625795,19.9352284,1
50.0625798,19.9350876,1
50.0626113,19.9350737,1
50.0625873,19.9352278,1
50.0633651,19.9335892,1
50.0624976,19.9353213,1
50.0625866,19.9350964,1
50.0591644,19.9433121,1
49.9931846,20.0434783,1
49.9848481,20.0524206,1
49.9931983,20.0419465,1
50.0469364,19.9548284,1
50.0586907,19.9449645,1
50.061426,19.9467827,1
50.061966,19.9430459,1
50.0627743,19.9346816,1
50.06251788,19.93862688,1
50.062037,19.9380243,1
50.0625578,19.9352175,1
50.0625781,19.9351276,1
50.062596,19.9350679,1
50.0625672,19.9351645,1
50.0625823,19.9351096,1
50.0626005,19.9350316,1
50.0625811,19.9351326,1
50.0624665,19.9350721,1
50.0630178,19.9340556,1
50.0620969,19.9369921,1
50.0645538,19.9406145,1
50.0619005,19.9376933,1
50.063046,19.9340562,1
50.0630303,19.9340581,1
50.0641133,19.9351826,1
50.0625609,19.935157,1
50.0632522,19.9336525,1
50.0625801,19.9351321,1
50.0625937,19.9351009,1
50.0625735,19.9351027,1
50.0626095,19.9350853,1
50.0625471,19.9351782,1
50.0625758,19.9352586,1
50.0625614,19.9351123,1
50.0620292,19.9372839,1
50.0688635,19.9493028,1
50.0891504,19.9089234,1
50.0718414,19.8014484,1
50.0775064,19.8091708,1
50.1459569,19.4649668,1
50.1543968,19.2441361,1
50.2547209,18.8870225,1
50.2736325,18.7294285,1
50.2736325,18.7294285,1
50.4622715,19.0815141,1
50.3736895,18.8892047,1
49.9005024,18.3465247,1
49.8213494,18.2090604,1
